No,ID_SERVICE,ID_TT43,Name_Method,Class,Group
1,01.0009.0098,1.9,Đặt catheter động mạch,Các thủ thuật và dịch vụ Nội soi,Exclude
2,01.0098.0079,1.98,"Chọc hút dịch, khí trung thất",Các thủ thuật và dịch vụ Nội soi,Exclude
3,01.0099.0111,1.99,Dẫn lưu trung thất liên tục ≤ 8 giờ,Các thủ thuật và dịch vụ Nội soi,Exclude
4,01.0101.0125,1.101,Nội soi màng phổi sinh thiết,Các thủ thuật và dịch vụ Nội soi,Exclude
5,01.0104.0109,1.104,Gây dính màng phổi bằng povidone 1odine bơm qua ống dẫn lưu màng phổi,Các thủ thuật và dịch vụ Nội soi,Exclude
6,01.0105.0109,1.105,Gây dính màng phổi bằng tetracyclin bơm qua ống dẫn lưu màng phổi,Các thủ thuật và dịch vụ Nội soi,Exclude
7,01.0106.0128,1.106,Nội soi khí phế quản cấp cứu,Các thủ thuật và dịch vụ Nội soi,Exclude
8,01.0108.0118,1.108,Nội soi phế quản ống mềm chẩn đoán cấp cứu ở người bệnh có thở máy,Các thủ thuật và dịch vụ Nội soi,Exclude
9,01.0110.0118,1.110,Nội soi phế quản ống mềm điều trị cấp cứu ở người bệnh có thở máy,Các thủ thuật và dịch vụ Nội soi,Exclude
10,01.0111.0129,1.111,Nội soi khí phế quản lấy dị vật,Các thủ thuật và dịch vụ Nội soi,Exclude
11,01.0112.0128,1.112,Bơm rửa phế quản,Các thủ thuật và dịch vụ Nội soi,Exclude
12,01.0115.0297,1.115,Siêu âm nội soi phế quản ống mềm,Hồi sức cấp cứu và Chống độc,Exclude
13,01.0116.0118,1.116,Nội soi bơm rửa phế quản cấp cứu lấy bệnh phẩm ở người bệnh thở máy,Các thủ thuật và dịch vụ Nội soi,Exclude
14,01.0117.0118,1.117,Nội soi phế quản cấp cứu để cầm máu ở người bệnh thở máy,Các thủ thuật và dịch vụ Nội soi,Exclude
15,01.0118.0118,1.118,Nội soi phế quản sinh thiết ở người bệnh thở máy,Các thủ thuật và dịch vụ Nội soi,Exclude
16,01.0119.0118,1.119,Nội soi phế quản sinh thiết xuyên thành ở người bệnh thở máy,Các thủ thuật và dịch vụ Nội soi,Exclude
17,01.0012.0298,1.12,Đặt đường truyền vào xương (qua đường xương),Hồi sức cấp cứu và Chống độc,Exclude
18,01.0128.0209,1.128,Thông khí nhân tạo không xâm nhập [giờ theo thực tế],Các thủ thuật và dịch vụ Nội soi,Exclude
19,01.0129.0209,1.129,Thông khí nhân tạo CPAP qua van Boussignac [giờ theo thực tế],Các thủ thuật và dịch vụ Nội soi,Exclude
